date,daily worker count
07/12/2015,8337
08/12/2015,8346
09/12/2015,8454
10/12/2015,8475
11/12/2015,8528
12/12/2015,6297
13/12/2015,5830
14/12/2015,8289
15/12/2015,8329
16/12/2015,8251
17/12/2015,8258
18/12/2015,8138
19/12/2015,6156
20/12/2015,5683
21/12/2015,8443
22/12/2015,8171
23/12/2015,8263
24/12/2015,7643
25/12/2015,5900
26/12/2015,5842
27/12/2015,6078
28/12/2015,7849
29/12/2015,7802
30/12/2015,7743
31/12/2015,7311
01/01/2016,6279
02/01/2016,5916
03/01/2016,5497
04/01/2016,9017
05/01/2016,9020
06/01/2016,9127
07/01/2016,8886
08/01/2016,8961
09/01/2016,6247
10/01/2016,5506
11/01/2016,9079
12/01/2016,8868
13/01/2016,8801
14/01/2016,8748
15/01/2016,8761
16/01/2016,6278
17/01/2016,5645
18/01/2016,9181
19/01/2016,8833
20/01/2016,8910
21/01/2016,8891
22/01/2016,8958
23/01/2016,6488
24/01/2016,5764
25/01/2016,9210
26/01/2016,9253
27/01/2016,9043
28/01/2016,9022
29/01/2016,9008
30/01/2016,6270
31/01/2016,5622
01/02/2016,9045
02/02/2016,9196
03/02/2016,9116
04/02/2016,8968
05/02/2016,8989
06/02/2016,6097
07/02/2016,5635
08/02/2016,9098
09/02/2016,9259
10/02/2016,9153
11/02/2016,9102
12/02/2016,9092
13/02/2016,6259
14/02/2016,5768
15/02/2016,9219
16/02/2016,9096
17/02/2016,9203
18/02/2016,9154
19/02/2016,9066
20/02/2016,6273
21/02/2016,5789
22/02/2016,9368
23/02/2016,9378
24/02/2016,9397
25/02/2016,9260
26/02/2016,9200
27/02/2016,6403
28/02/2016,5834
29/02/2016,9392
01/03/2016,9227
02/03/2016,9277
03/03/2016,9528
04/03/2016,9413
05/03/2016,6200
06/03/2016,5600
07/03/2016,9539
08/03/2016,9605
09/03/2016,9472
10/03/2016,9492
11/03/2016,9450
12/03/2016,6369
13/03/2016,5656
14/03/2016,9759
15/03/2016,9776
16/03/2016,9786
17/03/2016,9656
18/03/2016,9599
19/03/2016,6644
20/03/2016,5795
21/03/2016,10723
22/03/2016,10737
23/03/2016,10788
24/03/2016,10732
25/03/2016,10650
26/03/2016,7844
27/03/2016,6920
28/03/2016,8367
29/03/2016,10790
30/03/2016,10799
31/03/2016,10885
01/04/2016,11008
02/04/2016,7913
03/04/2016,7078
04/04/2016,11026
05/04/2016,11110
06/04/2016,11016
07/04/2016,11153
08/04/2016,11017
09/04/2016,8123
10/04/2016,7496
11/04/2016,11285
12/04/2016,11282
13/04/2016,11317
14/04/2016,11340
15/04/2016,11345
16/04/2016,8194
17/04/2016,7407
18/04/2016,11391
19/04/2016,11225
20/04/2016,11508
21/04/2016,11377
22/04/2016,11315
23/04/2016,8430
24/04/2016,7619
25/04/2016,11805
26/04/2016,11726
27/04/2016,9444
28/04/2016,11789
29/04/2016,11467
30/04/2016,8670
01/05/2016,7886
02/05/2016,11866
03/05/2016,12063
04/05/2016,11844
05/05/2016,9363
06/05/2016,11246
07/05/2016,8655
08/05/2016,7774
09/05/2016,11837
10/05/2016,11873
11/05/2016,11783
12/05/2016,11689
13/05/2016,11648
14/05/2016,8700
15/05/2016,7751
16/05/2016,9375
17/05/2016,12351
18/05/2016,12236
19/05/2016,12272
20/05/2016,12009
21/05/2016,8442
22/05/2016,7720
23/05/2016,12403
24/05/2016,12273
25/05/2016,12327
26/05/2016,12294
27/05/2016,12215
28/05/2016,8523
29/05/2016,7745
30/05/2016,12055
31/05/2016,12072
01/06/2016,12054
02/06/2016,12276
03/06/2016,12177
04/06/2016,8595
05/06/2016,7780
06/06/2016,12192
07/06/2016,12145
08/06/2016,12290
09/06/2016,12317
10/06/2016,12131
11/06/2016,8558
12/06/2016,7798
13/06/2016,12236
14/06/2016,12314
15/06/2016,12581
16/06/2016,12244
17/06/2016,12163
18/06/2016,8436
19/06/2016,7828
20/06/2016,12547
21/06/2016,12319
22/06/2016,12434
23/06/2016,12359
24/06/2016,12411
25/06/2016,8366
26/06/2016,7793
27/06/2016,12420
28/06/2016,12660
29/06/2016,12694
30/06/2016,12705
01/07/2016,12606
02/07/2016,8666
03/07/2016,7950
04/07/2016,12519
05/07/2016,12492
06/07/2016,12439
07/07/2016,12519
08/07/2016,12259
09/07/2016,8313
10/07/2016,7726
11/07/2016,12476
12/07/2016,12550
13/07/2016,12629
14/07/2016,12331
15/07/2016,12275
16/07/2016,8464
17/07/2016,7844
18/07/2016,12453
19/07/2016,12374
20/07/2016,12646
21/07/2016,12480
22/07/2016,12570
23/07/2016,8455
24/07/2016,7942
25/07/2016,12528
26/07/2016,12519
27/07/2016,12602
28/07/2016,12415
29/07/2016,12250
30/07/2016,8485
31/07/2016,7601
01/08/2016,12425
02/08/2016,12416
03/08/2016,12525
04/08/2016,12556
05/08/2016,12526
06/08/2016,8440
07/08/2016,7592
08/08/2016,12568
09/08/2016,12481
